Date,Close
2/3/2017,2014
2/6/2017,2468
2/7/2017,2414
2/8/2017,2470
2/9/2017,2238
2/10/2017,2388
2/13/2017,2294
2/14/2017,2372
2/15/2017,2334
2/16/2017,2432
2/17/2017,2288
2/21/2017,2204
2/22/2017,2196
2/23/2017,2224
2/24/2017,2092
2/27/2017,1494
2/28/2017,1570
3/1/2017,1658
3/2/2017,1252
3/3/2017,1344
3/6/2017,1118
3/7/2017,1144
3/8/2017,1112
3/9/2017,1072
3/10/2017,1232
3/13/2017,1392
3/14/2017,1144
3/15/2017,1522
3/16/2017,1482
3/17/2017,1344
3/20/2017,1416
3/21/2017,1474
3/22/2017,1422
3/23/2017,1336
3/24/2017,1322
3/27/2017,1402
3/28/2017,1280
3/29/2017,1320
3/30/2017,1258
3/31/2017,1292
4/3/2017,1362
4/4/2017,1404
4/5/2017,1392
4/6/2017,1368
4/7/2017,1348
4/10/2017,1374
4/11/2017,1458
4/12/2017,1518
4/13/2017,1360
4/17/2017,1314
4/18/2017,1282
4/19/2017,1180
4/20/2017,1150
4/21/2017,1122
4/24/2017,1050
4/25/2017,910
4/26/2017,916
4/27/2017,874
4/28/2017,900
5/1/2017,830.5
5/2/2017,821.5
5/3/2017,794
5/4/2017,706.5
5/5/2017,749.5
5/8/2017,755.5
5/9/2017,750
5/10/2017,797.5
5/11/2017,882.5
5/12/2017,924
5/15/2017,937.5
5/16/2017,960
5/17/2017,1019.5
5/18/2017,919
5/19/2017,922
5/22/2017,959
5/23/2017,862
5/24/2017,883.5
5/25/2017,847.5
5/26/2017,864
5/30/2017,833
5/31/2017,822
6/1/2017,820
6/2/2017,853
6/5/2017,867.5
6/6/2017,1020
6/7/2017,1015
6/8/2017,961.5
6/9/2017,912.5
6/12/2017,962
6/13/2017,1026
6/14/2017,886
6/15/2017,886
6/16/2017,901
6/19/2017,864
6/20/2017,857.5
6/21/2017,897.5
6/22/2017,949
6/23/2017,1000
6/26/2017,967.5
6/27/2017,944.5
6/28/2017,984.5
6/29/2017,922
6/30/2017,931
7/3/2017,841.5
7/5/2017,859
7/6/2017,820.5
7/7/2017,766
7/10/2017,817.5
7/11/2017,827.5
7/12/2017,838
7/13/2017,804
7/14/2017,839
7/17/2017,868.5
7/18/2017,884.5
7/19/2017,878
7/20/2017,885.5
7/21/2017,901
7/24/2017,849.5
7/25/2017,835.5
7/26/2017,924
7/27/2017,882.5
7/28/2017,933
7/31/2017,931.5
8/1/2017,926
8/2/2017,898
8/3/2017,890
8/4/2017,829.5
8/7/2017,815.5
8/8/2017,821
8/9/2017,857.5
8/10/2017,898.5
8/11/2017,922.5
8/14/2017,879.5
8/15/2017,842.5
8/16/2017,898.5
8/17/2017,902.5
8/18/2017,901
8/21/2017,940
8/22/2017,911
8/23/2017,931
8/24/2017,937.5
8/25/2017,946.5
8/28/2017,1054
8/29/2017,1073
8/30/2017,1027.5
8/31/2017,1127.5
9/1/2017,1146.5
9/5/2017,1252
9/6/2017,1199
9/7/2017,1276.5
9/8/2017,1208.5
9/11/2017,1107
9/12/2017,1144.5
9/13/2017,1071
9/14/2017,1099.5
9/15/2017,1050
9/18/2017,974
9/19/2017,992.5
9/20/2017,941
9/21/2017,914.5
9/22/2017,953.5
9/25/2017,1003.5
9/26/2017,939
9/27/2017,893.5
9/28/2017,916
9/29/2017,896.5
10/2/2017,893
10/3/2017,927
10/4/2017,950
10/5/2017,908.5
10/6/2017,969
10/9/2017,1005
10/10/2017,965
10/11/2017,998.5
10/12/2017,973
10/13/2017,968
10/16/2017,911.5
10/17/2017,904
10/18/2017,883.5
10/19/2017,897.5
10/20/2017,858.5
10/23/2017,841.5
10/24/2017,811.5
10/25/2017,790
10/26/2017,752.5
10/27/2017,761
10/30/2017,794
10/31/2017,758
11/1/2017,764
11/2/2017,786
11/3/2017,764.5
11/6/2017,813
11/7/2017,792
11/8/2017,806.5
11/9/2017,797
11/10/2017,761
11/13/2017,745.5
11/14/2017,730
11/15/2017,741
11/16/2017,744
11/17/2017,776
11/20/2017,735
11/21/2017,749.5
11/22/2017,780
11/24/2017,766
11/27/2017,783
11/28/2017,768.5
11/29/2017,727
11/30/2017,721
12/1/2017,726
12/4/2017,697.5
12/5/2017,667
12/6/2017,639.5
12/7/2017,614
12/8/2017,632
12/11/2017,634
12/12/2017,638
12/13/2017,710.5
12/14/2017,707.5
12/15/2017,702
12/18/2017,734.5
12/19/2017,742.5
12/20/2017,787.5
12/21/2017,812
12/22/2017,845.5
12/26/2017,902
12/27/2017,897
12/28/2017,895.5
12/29/2017,888
1/2/2018,966
1/3/2018,916.5
1/4/2018,931.5
1/5/2018,911
1/8/2018,870
1/9/2018,819
1/10/2018,846.5
1/11/2018,867
1/12/2018,940.5
1/16/2018,991
1/17/2018,941.5
1/18/2018,886
1/19/2018,896.5
1/22/2018,902
1/23/2018,943
1/24/2018,998
1/25/2018,899
1/26/2018,915.5
1/29/2018,821
1/30/2018,789
1/31/2018,826
2/1/2018,821
2/2/2018,723.5
2/5/2018,730
2/6/2018,672
2/7/2018,653
2/8/2018,658.5
2/9/2018,613
2/12/2018,676.5
2/13/2018,693.5
2/14/2018,791.5
2/15/2018,795.5
2/16/2018,723
2/20/2018,663
2/21/2018,660
2/22/2018,657.5
2/23/2018,681
2/26/2018,716.5
2/27/2018,655
2/28/2018,648
3/1/2018,676
3/2/2018,668
3/5/2018,671
3/6/2018,708
3/7/2018,661
3/8/2018,665.5
3/9/2018,662.5
3/12/2018,676.5
3/13/2018,669
3/14/2018,669
3/15/2018,651.5
3/16/2018,642
3/19/2018,660
3/20/2018,640.5
3/21/2018,707
3/22/2018,679.5
3/23/2018,722.5
3/26/2018,735
3/27/2018,698.5
3/28/2018,653.5
3/29/2018,678
4/2/2018,699.5
4/3/2018,668.5
4/4/2018,663
4/5/2018,672.5
